nom,prenom,email,type
Randrianarisoa,Jean,jean.randrianarisoa@example.com,Delegue
Rakotobe,Sarah,sarah.rakotobe@example.com,Observateur
Andrianina,Hery,hery.andrianina@example.com,Comité d'organisation
Ramiandrisoa,Fanja,fanja.ramiandrisoa@example.com,WOSM Team
Rasoanaivo,Michel,michel.rasoanaivo@example.com,Delegue
Rakotoarisoa,Lova,lova.rakotoarisoa@example.com,Observateur
Randriamahenina,Claudine,claudine.randriamahenina@example.com,Comité d'organisation
Andriatsiferana,Tojo,tojo.andriatsiferana@example.com,WOSM Team
Rakotonirina,Mialy,mialy.rakotonirina@example.com,Delegue
Raveloson,Patrick,patrick.raveloson@example.com,Observateur
