nom,prenom,email,type
Rakoto,Jean,jean.rakoto@example.com,delegue
Rabe,Marie,marie.rabe@example.com,observateur
Andrian,Luc,luc.andrian@example.com,delegue
Rasolon,Sofia,sofia.rasolon@example.com,observateur
Randria,Paul,paul.randria@example.com,delegue
Hanitra,Lala,lala.hanitra@example.com,observateur
Rakotovao,Patrick,patrick.rakotovao@example.com,delegue
Raharinirina,Fanja,fanja.raharinirina@example.com,observateur
Andriamisa,Hery,hery.andriamisa@example.com,delegue
Razanaka,Noro,noro.razanaka@example.com,observateur
